,date,mining_profitability,transactions,market_cap,sent_addresses,av_transaction_size,median_transaction_size,send_usd,hashrate,top_100_percent,confirmation_time,block_size,tweets,av_transaction_value,difficulty,fee_reward,google_trends,active_addresses,median_transaction_value,price,full_name,coin
0,2010/07/17,154298,235,169839,390,,null,1193,2775561176,25.749,8.324,649.653,,2.924,181.543,0.001,0.0287,804,0.248,0.0495,bitcoin,btc
1,2010/07/18,401834,248,249761,424,,null,2612,1554461318,25.782,8.372,765.285,,6.237,181.543,0.0163,0.0365,917,0.363,0.0726,bitcoin,btc
2,2010/07/19,481473,354,295981,553,,null,4047,1551287489,25.685,8.276,756.04,,7.666,181.543,0.00154,0.0213,972,0.429,0.0859,bitcoin,btc
3,2010/07/20,431831,413,270546,632,,null,2341,1640430286,25.602,7.956,984.707,,3.94,181.543,null,0.0612,906,5.105,0.0783,bitcoin,btc
4,2010/07/21,460783,256,265900,440,,null,2122,1723492810,25.638,6.957,542.483,,4.583,181.543,null,0.0538,809,3.837,0.0767,bitcoin,btc
5,2010/07/22,334641,221,225420,412,,null,2570,1705481237,25.604,8.182,491.903,,6.474,181.543,null,0.0288,599,1.054,0.0649,bitcoin,btc
6,2010/07/23,319692,217,197086,405,,null,1166,1716129083,25.509,7.423,447.16,,2.837,181.543,0.000195,0.0731,652,0.814,0.0566,bitcoin,btc
7,2010/07/24,329602,705,202929,645,,null,2540,1665066217,25.527,7.619,1446,,2.842,181.543,null,0.0826,964,0.445,0.0581,bitcoin,btc
8,2010/07/25,320839,1592,185609,1793,,null,2493,1907547992,25.505,6.234,3145,,1.368,181.543,0.0287,0.027,2132,0.458,0.053,bitcoin,btc
9,2010/07/26,289627,224,186308,408,,null,4608,2223656291,26.309,5.926,918.379,,9.868,181.543,0.0259,0.00743,1238,2.65,0.053,bitcoin,btc
10,2010/07/27,198389,260,204589,419,,null,1850,2426744254,26.363,8.675,679.271,,4.343,239.305,0.0132,0.04,771,0.195,0.058,bitcoin,btc
11,2010/07/28,242370,1792,210197,343,,null,4012,1950278995,26.354,9.057,3344,,2.059,244.213,0.0144,0.00743,674,0.00297,0.0595,bitcoin,btc
12,2010/07/29,278382,1687,229629,367,,null,1230,2095168440,26.369,8,2370,,0.662,244.213,0.0109,0.04,528,0.00324,0.0648,bitcoin,btc
13,2010/07/30,275386,143,235363,293,,null,1336,2189273223,26.363,7.912,538.269,,4.11,244.213,0.00724,0.0213,583,0.884,0.0663,bitcoin,btc
14,2010/07/31,297637,92,236589,263,,null,1025,2265292201,26.3,7.094,389.704,,3.475,244.213,0.00948,0.0556,475,1.341,0.0664,bitcoin,btc
15,2010/08/01,273081,125,218064,331,,null,16490,2671612580,26.301,6.025,351.033,,45.301,244.213,0.00755,null,620,3.053,0.0611,bitcoin,btc
16,2010/08/02,248468,156,219511,335,,null,3893,2982826783,26.233,5.95,356.388,,9.782,244.213,0.00443,null,627,3.063,0.0613,bitcoin,btc
17,2010/08/03,234431,421,215757,596,,null,2429,2904903911,26.279,6.344,743.899,,3.748,244.213,null,0.0278,974,0.879,0.06,bitcoin,btc
18,2010/08/04,264328,196,215175,465,,null,2005,2741851411,26.179,5.926,408.045,,4.57,244.213,null,null,731,2.984,0.0597,bitcoin,btc
19,2010/08/05,206592,297,215538,544,,null,2430,3141922058,26.228,6.606,846.908,,4.718,259.068,null,0.0278,819,2.978,0.0596,bitcoin,btc
20,2010/08/06,142793,212,225626,369,,null,1155,3199053766,26.194,9.796,676.122,,3.217,352.161,null,null,638,0.256,0.0622,bitcoin,btc
21,2010/08/07,178048,118,217898,245,,null,1514,2608076740,26.171,9.29,559.974,,5.545,352.161,0.0689,0.0348,514,1.438,0.0599,bitcoin,btc
22,2010/08/08,190690,192,218545,387,,null,616.346,3128125022,26.149,7.236,448.196,,1.585,352.161,null,null,584,0.151,0.06,bitcoin,btc
23,2010/08/09,181613,234,241092,442,,null,5060,3451603021,26.326,7.579,1483,,12.034,352.161,0.0823,null,778,3.57,0.066,bitcoin,btc
24,2010/08/10,198271,149,252878,299,,null,2337,3323478837,26.26,7.539,394.817,,6.874,352.161,null,0.0278,590,3.45,0.069,bitcoin,btc
25,2010/08/11,196830,179,233328,362,,null,3479,3758454224,26.444,6.18,415.854,,8.46,352.161,null,0.08,701,3.175,0.0635,bitcoin,btc
26,2010/08/12,192848,175,254341,353,,null,1083,3882076899,26.314,6.636,378.806,,2.764,352.161,null,0.0835,579,3.45,0.069,bitcoin,btc
27,2010/08/13,179694,301,242150,529,,null,2297,3918463385,26.404,6.698,756.344,,4.451,352.161,null,0.0591,847,3.275,0.0655,bitcoin,btc
28,2010/08/14,221718,153,245635,355,,null,1063,4198187090,26.337,5.125,411.21,,2.473,352.161,null,null,563,3.313,0.0663,bitcoin,btc
29,2010/08/15,118179,108,246175,226,,null,1119,5792904430,26.3,6.957,322.952,,3.552,389.944,null,null,425,3.307,0.0661,bitcoin,btc
30,2010/08/16,127034,306,240142,449,,null,4352,3723240584,26.438,9.796,968.878,,9.826,511.774,0.0135,0.0522,772,4.602,0.0643,bitcoin,btc
31,2010/08/17,123209,189,253348,320,,null,3387,3546715851,26.571,11.163,594.527,,10.652,511.774,null,null,494,3.388,0.0678,bitcoin,btc
32,2010/08/18,137974,244,258448,387,,null,2580,3326153695,26.535,10.827,1925,,6.842,511.774,0.0362,null,726,3.45,0.069,bitcoin,btc
33,2010/08/19,131465,190,252547,301,,null,1373,3455494630,26.516,10.667,542.652,,4.225,511.774,null,0.0278,470,3.365,0.0673,bitcoin,btc
34,2010/08/20,154681,230,248490,385,,null,1955,4123747293,26.561,7.461,514.834,,4.622,511.774,null,null,656,3.305,0.0661,bitcoin,btc
35,2010/08/21,122606,169,248562,332,,null,2551,4652854684,26.525,8.324,458.422,,7.459,511.774,null,0.0348,528,3.298,0.066,bitcoin,btc
