,date,market_capitalisation,sent_usd,transactions,avg_transaction_value,median_transaction_value,avg_transaction_fee,median_transacation_fee,block_time,block_size,fee,difficulty,hashrate,mining_profitability,active_adresses,top_addresses,tweets,google_trends,price,CHFUSD=X,CL=F,CNY=X,EURUSD=X,GBPUSD=X,GC=F,JPY=X,^DJI,^FTSE,^GSPC,^IXIC
4023,2009-01-03,,,null,,,,,,204,,1,null,,null,null,,,,,,,,,,,,,,
4024,2009-01-04,,,null,,,,,,null,,null,null,,null,null,,,,,,,,,,,,,,
4025,2009-01-05,,,null,,,,,,null,,null,null,,null,null,,,,,,,,,,,,,,
4026,2009-01-06,,,null,,,,,,null,,null,null,,null,null,,,,,,,,,,,,,,
4027,2009-01-07,,,null,,,,,,null,,null,null,,null,null,,,,,,,,,,,,,,
4028,2009-01-08,,,null,,,,,,null,,null,null,,null,null,,,,,,,,,,,,,,
4029,2009-01-09,,,null,,,,,102.857,134,,1,12576322,,14,100,,,,,,,,,,,,,,
4030,2009-01-10,,,null,,,,,23.607,134.23,,1,9378233,,61,100,,,,,,,,,,,,,,
4031,2009-01-11,,,null,,,,,15.484,134.409,,1,4857511,,93,59.524,,,,,,,,,,,,,,
4032,2009-01-12,,,7,,,,,15.319,153.372,,1,4567766,,102,38.168,,,,,,,,,,,,,,
4033,2009-01-13,,,null,,,,,11.707,134.667,,1,5654593,,123,25.974,,,,,,,,,,,,,,
4034,2009-01-14,,,1,,,,,11.163,138.194,,1,6206668,,133,19.498,,,,,,,,,,,,,,
4035,2009-01-15,,,8,,,,,11.429,157.579,,1,6365454,,140,16.284,,,,,,,,,,,,,,
4036,2009-01-16,,,2,,,,,13.333,139.87,,1,6070043,,114,14.201,,,,,,,,,,,,,,
4037,2009-01-17,,,null,,,,,13.211,134.853,,1,5240736,,109,12.394,,,,,,,,,,,,,,
4038,2009-01-18,,,1,,,,,13.458,138.944,,1,5190081,,111,11.226,,,,,,,,,,,,,,
4039,2009-01-19,,,2,,,,,12.522,151.896,,1,5762472,,133,11.373,,,,,,,,,,,,,,
4040,2009-01-20,,,1,,,,,12.632,143.728,,1,5793593,,123,10.873,,,,,,,,,,,,,,
4041,2009-01-21,,,1,,,,,14.118,137.99,,1,5559411,,105,10.094,,,,,,,,,,,,,,
4042,2009-01-22,,,1,,,,,15.824,147.747,,1,4120719,,102,10.153,,,,,,,,,,,,,,
4043,2009-01-23,,,2,,,,,17.143,148.238,,1,3518417,,95,10.117,,,,,,,,,,,,,,
4044,2009-01-24,,,1,,,,,7.164,141.06,,1,8393223,,212,9.439,,,,,,,,,,,,,,
4045,2009-01-25,,,1,,,,,7.539,136,,1,9962644,,193,8.47,,,,,,,,,,,,,,
4046,2009-01-26,,,1,,,,,15,158.948,,1,7689965,,117,9.077,,,,,,,,,,,,,,
4047,2009-01-27,,,1,,,,,14.845,139.309,,1,4617016,,101,8.745,,,,,,,,,,,,,,
4048,2009-01-28,,,null,,,,,12.857,134.652,,1,4962996,,112,8.293,,,,,,,,,,,,,,
4049,2009-01-29,,,1,,,,,11.901,146.256,,1,5795924,,134,8.379,,,,,,,,,,,,,,
4050,2009-01-30,,,null,,,,,12.308,134.872,,1,6240808,,117,7.972,,,,,,,,,,,,,,
4051,2009-01-31,,,1,,,,,10.435,151.464,,1,6051994,,159,8.286,,,,,,,,,,,,,,
4052,2009-02-01,,,1,,,,,12.743,137.204,,1,6190608,,116,7.971,,,,,,,,,,,,,,
4053,2009-02-02,,,1,,,,,11.25,136.094,,1,6153545,,130,7.605,,,,,,,,,,,,,,
4054,2009-02-03,,,16,,,,,10.36,167.496,,1,6704449,,154,7.258,,,,,,,,,,,,,,
4055,2009-02-04,,,null,,,,,12.101,134.739,,1,6346531,,119,6.974,,,,,,,,,,,,,,
4056,2009-02-05,,,null,,,,,11.429,134.722,,1,6048969,,126,6.696,,,,,,,,,,,,,,
4057,2009-02-06,,,null,,,,,11.803,134.836,,1,6295545,,122,6.448,,,,,,,,,,,,,,
4058,2009-02-07,,,4,,,,,11.163,159.31,,1,6330966,,156,6.789,,,,,,,,,,,,,,
4059,2009-02-08,,,1,,,,,10.909,136.576,,1,6434968,,134,6.536,,,,,,,,,,,,,,
4060,2009-02-09,,,1,,,,,10.746,172.604,,1,6421922,,179,7.493,,,,,,,,,,,,,,
4061,2009-02-10,,,null,,,,,12,134.667,,1,6511267,,120,7.256,,,,,,,,,,,,,,
4062,2009-02-11,,,2,,,,,10.827,148.128,,1,6460281,,147,7.24,,,,,,,,,,,,,,
4063,2009-02-12,,,null,,,,,12.101,134.874,,1,6046361,,119,7.027,,,,,,,,,,,,,,
4064,2009-02-13,,,null,,,,,11.613,134.903,,1,6055061,,124,6.819,,,,,,,,,,,,,,
4065,2009-02-14,,,null,,,,,10.588,134.787,,1,6655610,,136,6.604,,,,,,,,,,,,,,
4066,2009-02-15,,,3,,,,,11.25,148.383,,1,6358856,,142,6.639,,,,,,,,,,,,,,
4067,2009-02-16,,,1,,,,,11.803,163.172,,1,6230951,,153,7.118,,,,,,,,,,,,,,
4068,2009-02-17,,,null,,,,,12.308,134.897,,1,5876537,,117,6.941,,,,,,,,,,,,,,
4069,2009-02-18,,,null,,,,,12.203,134.941,,1,5957088,,118,6.77,,,,,,,,,,,,,,
4070,2009-02-19,,,1,,,,,11.613,150.048,,1,5943972,,141,6.925,,,,,,,,,,,,,,
4071,2009-02-20,,,null,,,,,11.803,134.852,,1,6302263,,122,6.757,,,,,,,,,,,,,,
4072,2009-02-21,,,null,,,,,12.632,134.965,,1,5624662,,114,6.608,,,,,,,,,,,,,,
4073,2009-02-22,,,4,,,,,11.901,147.545,,1,6022206,,133,6.589,,,,,,,,,,,,,,
4074,2009-02-23,,,null,,,,,13.333,134.991,,1,5531524,,108,6.457,,,,,,,,,,,,,,
4075,2009-02-24,,,null,,,,,13.585,134.934,,1,5457302,,106,6.333,,,,,,,,,,,,,,
4076,2009-02-25,,,null,,,,,13.714,134.867,,1,5346698,,105,6.214,,,,,,,,,,,,,,
4077,2009-02-26,,,null,,,,,13.458,134.963,,1,5036662,,107,6.097,,,,,,,,,,,,,,
4078,2009-02-27,,,1,,,,,12.522,170.8,,1,5729494,,152,6.595,,,,,,,,,,,,,,
4079,2009-02-28,,,1,,,,,14.545,143.525,,1,5316849,,107,6.603,,,,,,,,,,,,,,
4080,2009-03-01,,,null,,,,,13.714,134.952,,1,5054096,,105,6.488,,,,,,,,,,,,,,
4081,2009-03-02,,,null,,,,,13.333,134.963,,1,5331702,,108,6.374,,,,,,,,,,,,,,
4082,2009-03-03,,,2,,,,,13.714,144.429,,1,5226712,,114,6.395,,,,,,,,,,,,,,
4083,2009-03-04,,,2,,,,,13.846,163.712,,1,5294369,,130,6.668,,,,,,,,,,,,,,
4084,2009-03-05,,,1,,,,,12.857,143.411,,1,5166785,,121,6.677,,,,,,,,,,,,,,
4085,2009-03-06,,,null,,,,,12.308,134.923,,1,5859262,,117,6.558,,,,,,,,,,,,,,
4086,2009-03-07,,,null,,,,,13.211,134.972,,1,5644853,,109,6.451,,,,,,,,,,,,,,
4087,2009-03-08,,,3,,,,,12.522,162.591,,1,5561590,,142,6.695,,,,,,,,,,,,,,
4088,2009-03-09,,,null,,,,,13.333,134.713,,1,5735349,,108,6.59,,,,,,,,,,,,,,
4089,2009-03-10,,,null,,,,,13.458,134.972,,1,5209928,,107,6.489,,,,,,,,,,,,,,
4090,2009-03-11,,,null,,,,,12.632,134.886,,1,5454076,,114,6.386,,,,,,,,,,,,,,
4091,2009-03-12,,,1,,,,,12.203,138.534,,1,5725069,,122,6.309,,,,,,,,,,,,,,
4092,2009-03-13,,,1,,,,,12.743,148.389,,1,5657424,,127,6.389,,,,,,,,,,,,,,
4093,2009-03-14,,,null,,,,,13.091,134.791,,1,5678662,,110,6.295,,,,,,,,,,,,,,
4094,2009-03-15,,,null,,,,,11.707,134.967,,1,5783981,,123,6.193,,,,,,,,,,,,,,
4095,2009-03-16,,,1,,,,,11.901,180.512,,1,6164511,,170,6.718,,,,,,,,,,,,,,
4096,2009-03-17,,,null,,,,,12.632,134.965,,1,5863375,,114,6.62,,,,,,,,,,,,,,
4097,2009-03-18,,,2,,,,,12.632,149.711,,1,5612209,,129,6.702,,,,,,,,,,,,,,
